year,accuracy,MCC,F1,alpha,window,method,training_size,test_size,train_distribution,test_distribution
2001,0.6641221374045801,0.36326811107417517,0.7142857142857143,5,30,window,338,131,50.0,68.7
2014,0.575,0.326628725322544,0.6709677419354838,5,25,window,1316,240,50.0,85.0
2002,0.7197452229299363,0.3199772855273777,0.807017543859649,5,30,window,418,157,50.0,78.34
2015,0.5585585585585585,0.28735667062966425,0.6597222222222222,5,25,window,1382,222,50.0,85.59
2016,0.5884353741496599,0.35820631877596393,0.6738544474393531,5,25,window,1446,294,50.0,82.99
2003,0.8472906403940886,0.46214661588899897,0.910144927536232,5,30,window,486,203,50.0,90.64
2004,0.8038277511961722,0.43229134200884056,0.8790560471976402,5,30,window,524,209,50.0,88.52
2005,0.8396501457725948,0.2600727025938307,0.9090909090909091,5,30,window,572,343,50.0,92.13
2017,0.7188940092165899,0.4414337749606174,0.8075709779179809,5,25,window,1524,434,50.0,86.41
2006,0.8608247422680413,0.3411474596288291,0.9218900675024108,5,30,window,626,582,50.0,93.81
2007,0.7951807228915663,0.3274487600238598,0.8784473953013279,5,30,window,688,581,50.0,92.43
2018,0.6143617021276596,0.36314686581321853,0.7162426614481409,5,25,window,1628,376,50.0,86.97
2019,0.5863095238095238,0.30848893044216225,0.6945054945054945,5,25,window,1698,336,50.0,87.5
2008,0.7958115183246073,0.31384410946810903,0.88,5,30,window,776,573,50.0,93.72
1969,0,0,0,5,35,window,0,1,nan,0.0
1970,0,0,0,5,35,window,0,1,nan,0.0
2020,0.4781021897810219,0.23856744984340642,0.5830903790087464,5,25,window,1754,274,50.0,87.96
1971,0,0,0,5,35,window,0,1,nan,0.0
2021,0.5868945868945868,0.2858556828250581,0.7070707070707072,5,25,window,1806,351,50.0,90.6
1972,0,0,0,5,35,window,0,0,nan,nan
1973,0,0,0,5,35,window,0,0,nan,nan
1974,0,0,0,5,35,window,0,0,nan,nan
1975,0,0,0,5,35,window,0,1,nan,100.0
1976,0.16666666666666666,0.0,0.2857142857142857,5,35,window,2,6,50.0,16.67
2009,0.6832,0.22294294784937257,0.7987804878048781,5,30,window,846,625,50.0,92.48
1977,0,0,0,5,35,window,4,0,50.0,nan
1978,0.6666666666666666,0.5,0.6666666666666666,5,35,window,4,3,50.0,66.67
1979,1.0,0.0,1.0,5,35,window,8,2,50.0,100.0
1980,0.6666666666666666,0.0,0.8,5,35,window,12,3,50.0,66.67
1981,0.5,0.0,0.6666666666666666,5,35,window,16,2,50.0,50.0
1982,0.8333333333333334,0.0,0.9090909090909091,5,35,window,18,6,50.0,83.33
1983,0.7142857142857143,0.0,0.8333333333333333,5,35,window,26,7,50.0,71.43
1984,0.9,0.6666666666666666,0.9411764705882353,5,35,window,30,10,50.0,80.0
1985,0.75,0.0,0.8571428571428571,5,35,window,34,4,50.0,75.0
2010,0.6843033509700176,0.25426820881261425,0.7940161104718066,5,30,window,940,567,50.0,89.42
1986,0.7142857142857143,0.47140452079103173,0.8,5,35,window,36,7,50.0,57.14
1987,0.6,0.0,0.7499999999999999,5,35,window,42,15,50.0,60.0
1988,0.2857142857142857,0.0,0.4444444444444445,5,35,window,54,7,50.0,28.57
1989,0.8,0.0,0.888888888888889,5,35,window,64,15,50.0,80.0
1990,1.0,0.0,1.0,5,35,window,70,8,50.0,100.0
2011,0.6274509803921569,0.2650570269641682,0.7389312977099236,5,30,window,1058,459,50.0,87.36
1991,0.5,-0.19180536399919287,0.6666666666666667,5,35,window,70,24,50.0,54.17
1992,0.6956521739130435,0.2526124011407279,0.787878787878788,5,35,window,92,23,50.0,69.57
2012,0.572289156626506,0.31502002494740483,0.6666666666666667,5,30,window,1172,332,50.0,84.34
1993,0.5333333333333333,0.017857142857142856,0.6818181818181818,5,35,window,106,30,50.0,53.33
