year,accuracy,MCC,F1,window,batch_size,epochs,method,training_size,test_size,train_distribution,test_distribution
2000,0.6,0.11785113019775792,0.7037037037037038,40,16,20,window,266,120,50.0,75.0
2000,0.6,0.11785113019775792,0.7037037037037038,45,16,20,window,266,120,50.0,75.0
2001,0.7633587786259542,0.4070689782115879,0.841025641025641,5,16,20,window,168,131,50.0,68.7
2001,0.6870229007633588,0.16097184881373375,0.7980295566502463,10,16,20,window,274,131,50.0,68.7
2001,0.7557251908396947,0.43197831978319784,0.8222222222222222,15,16,20,window,308,131,50.0,68.7
2001,0.7251908396946565,0.36097560975609755,0.8000000000000002,20,16,20,window,322,131,50.0,68.7
2001,0.6030534351145038,0.1831186464212102,0.6790123456790124,25,16,20,window,326,131,50.0,68.7
2001,0.6030534351145038,0.1831186464212102,0.6790123456790124,30,16,20,window,326,131,50.0,68.7
2001,0.6030534351145038,0.1831186464212102,0.6790123456790124,35,16,20,window,326,131,50.0,68.7
2001,0.6030534351145038,0.1831186464212102,0.6790123456790124,40,16,20,window,326,131,50.0,68.7
2001,0.6030534351145038,0.1831186464212102,0.6790123456790124,45,16,20,window,326,131,50.0,68.7
2002,0.732484076433121,0.19462160861633862,0.8306451612903225,5,16,20,window,216,157,50.0,78.34
2002,0.7515923566878981,0.2756893399475902,0.8408163265306122,10,16,20,window,334,157,50.0,78.34
2002,0.7261146496815286,0.28229144647005106,0.8170212765957446,15,16,20,window,384,157,50.0,78.34
2002,0.6496815286624203,0.2320896472554895,0.7465437788018433,20,16,20,window,402,157,50.0,78.34
2002,0.6942675159235668,0.2216934564052662,0.7931034482758622,25,16,20,window,408,157,50.0,78.34
2002,0.6942675159235668,0.2216934564052662,0.7931034482758622,30,16,20,window,408,157,50.0,78.34
2002,0.6942675159235668,0.2216934564052662,0.7931034482758622,35,16,20,window,408,157,50.0,78.34
2002,0.6942675159235668,0.2216934564052662,0.7931034482758622,40,16,20,window,408,157,50.0,78.34
2002,0.6942675159235668,0.2216934564052662,0.7931034482758622,45,16,20,window,408,157,50.0,78.34
2003,0.7832512315270936,0.17535637591153994,0.8728323699421965,5,16,20,window,250,203,50.0,90.64
2003,0.7192118226600985,0.05182250050803984,0.830860534124629,10,16,20,window,388,203,50.0,90.64
2003,0.8472906403940886,0.29509774224451657,0.9131652661064426,15,16,20,window,440,203,50.0,90.64
2003,0.8374384236453202,0.10559901859069856,0.9095890410958904,20,16,20,window,468,203,50.0,90.64
2003,0.8472906403940886,0.32511786928636,0.9126760563380281,25,16,20,window,476,203,50.0,90.64
2003,0.8472906403940886,0.32511786928636,0.9126760563380281,30,16,20,window,476,203,50.0,90.64
2003,0.8472906403940886,0.32511786928636,0.9126760563380281,35,16,20,window,476,203,50.0,90.64
2003,0.8472906403940886,0.32511786928636,0.9126760563380281,40,16,20,window,476,203,50.0,90.64
2003,0.8472906403940886,0.32511786928636,0.9126760563380281,45,16,20,window,476,203,50.0,90.64
2004,0.722488038277512,0.15483607640047234,0.8284023668639053,5,16,20,window,260,209,50.0,88.52
2004,0.7799043062200957,0.26717099023726315,0.8670520231213874,10,16,20,window,398,209,50.0,88.52
2004,0.7942583732057417,0.10303572776605918,0.8815426997245179,15,16,20,window,468,209,50.0,88.52
2004,0.861244019138756,0.2789733937527002,0.9222520107238605,20,16,20,window,502,209,50.0,88.52
2004,0.84688995215311,0.32337281116837246,0.9120879120879122,25,16,20,window,512,209,50.0,88.52
2004,0.8373205741626795,0.30529668125410603,0.9060773480662982,30,16,20,window,514,209,50.0,88.52
