year,accuracy,MCC,F1,window,method,training_size,test_size,train_distribution,test_distribution
2019,0.7857142857142857,0.30373768391273687,0.8695652173913043,35,window,1802,336,50.0,87.5
2020,0.7481751824817519,0.3049523974239961,0.8413793103448275,35,window,1882,274,50.0,87.96
2021,0.8518518518518519,0.2560537351534748,0.9166666666666666,35,window,1946,351,50.0,90.6
2022,0.8818897637795275,0.3575178689992605,0.9344978165938864,35,window,2006,127,50.0,92.91
1978,0.3333333333333333,0.0,0.0,40,window,4,3,50.0,66.67
1979,0.0,0.0,0.0,40,window,8,2,50.0,100.0
1980,0.6666666666666666,0.0,0.8,40,window,12,3,50.0,66.67
1981,0.5,0.0,0.6666666666666666,40,window,16,2,50.0,50.0
1982,0.8333333333333334,0.0,0.9090909090909091,40,window,18,6,50.0,83.33
1983,0.7142857142857143,0.0,0.8333333333333333,40,window,26,7,50.0,71.43
